,Question,Answer
181178,"
   بتيجي بتشتري مني اغراضك للاسف 😴 شو هاد بتسمي حالك دكتورة وانتي بتشتريه من دوكنجي على قولتك 💔😴😴😴😴🐸
  ","

   دكنجي مثقف 😇
   
   لا بجيبن من الشركة ما مستعدة اجيك 😂
  
"
181179,"
   😏 يالله قديش راسك محروق 😂😂 اسمعي تعالي جيبي العدة تبعتك وفرشيلي اسناني وبدي اعمل تبيض 😴💔💔💔💔
  ","
  😂😂😂😂😂😂😂😂😂
  
  اصرف
  
  ما بعمل ل دكنجية ✋😎
  "
181180,"
   هاي الضحكة اللي بتجنن
  ","

   سقوط سماوات على رأس ضحكة 💔
  
"
181181,"
   سأقوم بإلغاء حسابي هذا, دمتم بخير وراحه 🌹❤
  ","

   ميتافيزيقيا الى اين 💔😭😭
  
"
181182,"
   الكل طلع مو كدد تحدي👍
  ","

   هلئيتي هاد تحدي والا بدك تقتلنا 😂
   
   قال متشربوا مي ول عليك😂💔
  
"
181183,"
   البنت إذا انخطبت وقالت لصديقتها لا تعلمي احد،؟
بعد ساعتين تجيها رساله من إيران،
خوش خبري شيندم خوطبه اروسي 
مبارك سلوات على مهمد وآل مهمد 

😂😂😂😂😂😂😂😂#حقيقه
  ","

   سقوط سماوات على رأس صديقة 😂😂
  
"
181184,"
   رح تيجي أياام حلووه، حلووه زي ضحكتك😍🙊
يسعد مساكي يحلووه ❤️
  ","

   يسعد مساكك يا وردة ❤
  
"
181185,"
   شو حلو إتعلق فيكي وإضعف قدامك شو حلو اني إرضيكي و حقق احلامك ❤
...

اعطيني مقطع من اغنيه بتحبها !
  ","

   ضلي عئلي آخدتيلي الله 😍 شو حلو ❤
  
"
181186,"
   مسا الخير ✋ الي بعرفني بوجهلي انتقاد بشغله سيئة موجوده فيني !!🌹  الي ما بعرفني مساحة 💕
  ","

   عامل حالك دكتور وانت صيدلي 😂 هع بوووووم👊
  
"
181187,"
   آخر هدية اجتك 😅 شو غيرت فيكي ؟! 🙈
  ","

   مشعارفة 🙈
   
   بس ضلت زكرى حلوة 💔
  
"
181188,"
   سؤال موجه للنشميات ✋😅 
رح تنتخبي ؟؟
  ","

   فلسطينية 😁
   
   رح انتخب هون👍
  
"
181189,"
   نزلت صور بتمنى تشوفيهم 🌼👐
  ","

   حلوين😉
  
"
181190,"
   لو تخيلنا اني غنية كثير 😂😂 و الك عندي طلب مآ ارفضه 😝 شو بتطلبي ؟🙊😹
  ","

   بطاقة بنك مفتوحة 😂
  
"
181191,"
   صباحكم جوري 😊🌺...... بلد غير بلدك الام  تناسبك گ(استقرار)؟؟؟؟!!!!
  ","

   دبي😍
  
"
181192,"
   ابتسامة لحتى أبدا بالحكي ؟! 
ابتسامتك قوتك ، 
كثير شغلات بنشوفها او بنقرأها بنحس انو لمست شي جوانا ، 
شوفي شو رح بيلمسك او بيعجبك من اخر 10 مساحات نزلتهم ،
وسكرين شوت للشي الي بيعجبك ،
و اذا صار وتم السكرين شوت الك 15 لايك لذوقك .،
وردة زرقة لألك ، وبسمة ب هالوجه الحلو 🌸🌸
فولو وببادلك 💙
  ","
  💕💕
  "
181193,"
   الزعلان منك بشوف وين حاططلك لايك وبشيلو 😂
  ","

   شغلي هاد😂💔
  
"
181194,"
   لَو بتقدَر تِسعد أحَد  بِگلمة ، مَا هِي الگلمة ؟!
  ","

   ربنا مبينسى حد ❤
  
"
181195,"
   مساحة كجمال عيونك 😍😍
  ","

   لا سلاماً على من استهلكونا فأهلكونا ...ففقدنا انفسنا 💔
  
"
181196,"
   تآبعت🌹
  ","

   بادلت💙
  
"
181197,"
   مساحة كجمال عيونك 😍😍
  ","

   قالوا العشق مع الوئت بيئل😍
   
   كلمة صدق ما ئدرت منك مل 😍
   
   بعيش بازمة نفسية لو غبتي 💔
  
"
181198,"
   لَمَـاآ يرتَبِـط مَزَاآجَـگ بِحَدَاآ 😍 إاعرِف اإَنَـگ وئِعِـت و مَحَدَاآ سَمَـى عَلِيـگ✋ 
💕 صباحكم 💕
  ","

   صباح الورد❤
  
"
181199,"
   صبااآآحو 😍😍in school
  ","

   يسعد صباحكك❤😜
  
"
181200,"
   مساء الخير 🌹
مساحه🌚 💬
  ","

   مسا الفل ❤
  
"
181201,"
   مساآ الجوري ..🌹
أَعطي لِ نفسَك #لـقـب ...🎶
  ","

   مسا الشوكولا 😋
   
   ملقبة جاهزة مايا😂ووتر 😂 و اتش تو أو H2O 🙈
  
"
181202,"
   مين التوب فريند عندك؟
  ","

   يسمينتي 💚❤
  
"
181203,"
   كدها انو تظل بلا ماتشرب مي اسبوع ‼️
  ","

   لا طبعا 😌
  
"
181204,"
   #حسويلكم مسابقه حلوه أنت كدها💪
  ","

   افوش
  
"
181205,"
   اكثر صفه سمعتوها من الناس عنكم 💭🔓
  ","

   بايعتها 😌
  
"
181206,"
   دوم يا رب
  ","
  💙💚💛
  "
181207,"
   كيفك
  ","

   منيحة
  
"
181208,"
   مستحيل عارفة أصلا -.-
  ","

   بلوك
   
   ووقتها بعرف 😂
  
"
181209,"
   طب شو اخر حرف -.-
  ","

   مش شغلك-,-
  
"
181210,"
   طب اعطيني الحرف الخامس
  ","

   4 حروف-,-
  
"
181211,"
   منتي مش عارفتيه -,- 
حلوة الضحكة بس هديك احلى
  ","

   امبلا عارفتو-,-
  
"
181212,"
   الروح عزيزه
  ","

   اوك💔🙈
  
"
181213,"
   وانا عاجبتني 
بس الضحكة أحلى -.-
  ","

   و انا اسمك عاجبني
  
"
181214,"
   ملل الواحد ميعرف شيسوي😐
  ","

   جرب موت😜
  
"
181215,"
   ع الاسك وين يعني بدو يكون 😂😂😂
  ","

   مااااا اخف دمك 😌😌
   
   قمنقلع😂
  
"
181216,"
   مهو كنتي حاطة الضحكة 
رجعيها يلا زي البنات الشطورين
  ","

   عاجبتني  صورتي-,-
  
"
181217,"
   انون الضحككة -,-
  ","

   زمان عنك😂💔
  
"
181218,"
   احكيلك وين شايفك
  ","

   وين😌
  
"
181219,"
   طب رجعي الضحكة :(
  ","

   مين -,-
  
"
181220,"
   ويحكي أن هناك بيوتاً في الجنة تبني بذكر الله فأذكروا الله كثيرا 💖
#Maha
  ","

   لا اله الا الله ❤
  
"
181221,"
   شايفك قبل ه المره 😕
  ","

   مبعرف😳
  
"
181222,"
   ضحكتك السكر أصلا
  ","

   شنو هاذا الحتشي 🙈
  
"
181223,"
   👅👅💚 😂😂😂
  ","
  😋😋😋😁
  "
181224,"
   لا 
بس رجعي الضحكة 
واذا في سندويشة زيت وزعتر 
لاني بعمل بشاي :)
  ","

   ما في سكر اصلا😒
  
"
181225,"
   رجعي الضحكة 
هاي مش حلوة !!!
  ","

   اوامر تانية😏
  
"
181226,"
   شيكل هههههه 😉
  ","

   يسعد😂😂
  
"
181227,"
   مرحباااااااا
  ","

   اهلا بردو😌
  
"
181228,"
   مرحبااااااا
  ","

   هلا
  
"
181229,"
   ذآ آجٱاكك الرققم هآاد 177 من مجههول 🌸 اعرف انوو معجب فيكك 💋 بعتهآا لككل متابعينكك 😍 وشوووف مين معجب فيكك بالسرر 🙊🙉 🙈 لا ينزززل 👍🌸🍃
  ","

   هات شيكل 😜
  
"
181230,"
   followed 😍❤️⬅️
  ","
  back❤
  "
181231,"
   177
  ","

   وكمان هلا 😌✋
  
"
181232,"
   177
  ","

   بردو هلا 😌
  
"
181233,"
   177
  ","

   هلا
  
"
181234,"
   كم جبتي بالتوجيهي؟
  ","

   91 وكم خشبة
  
"
181235,"
   رجعت ليليان ورجعت زناختها 
تمجهلو عليي *-*
  ","

   روحي ادرسي
  
"
181236,"
   متي غيره عشان بغازل صهيب
  ","

   اه طيب
   
   هي متت
  
"
181237,"
   تابعتك
  ","

   بادلتك
  
"
181238,"
   وليش انا دايما بآخر قآئمتك 😥
  ","

   من انت 😂
  
"
181239,"
   TBH :  زنخة و حبوبة وبتضلي تقوليلي جاجتي عشان بنام بدري بس الي ملاحظو انك كل يوم بتنامي ابدر مني ..
  ","

   هههههه 😂😂يمّا قلبي😍
   
   وك لا انا مبنام بسكّر الآسك بس🙈
   
   😘😘😘جاجتي❤❤😋
  
"
181240,"
   بما تُفكر حالياً
  ","

   بحدا 🙈
  
"
181241,"
   Rate: 10/10 😻😻
  ","
  😏👋
  "
181242,"
   مرحبا ً😌✋ لقد أتيتْ 💅 يمكِّنُكك أن تطير فرحاً الٱن 👣
  ","

   😂😂😂😂قمنقلع
  
"
181243,"
   ألي توججيهيي شوو وضعكك :3 وسنافر خليكم ع جنب :P
  ","

   هيوتني عجنب 😌
  
"
181244,"
   يعني عاهه. وعندها اعاقه شو بدك تحكيلها اكتر؟
  ","

   مش عارفة🙈🙈
  
"
181245,"
   مس يو 😍
  ","

   و انا كمان بيبي 😍😍😍
  
"
181246,"
   اه واضح  كتيير انه عاجبك المساحات بس 😂😂 
وخصوصي صهييب 😂
  ","

   @sohaipamro
  
  ❤🙈 خدلك هالعاهة
  "
181247,"
   انتي بدك تزبطي الشباب يعني كل الي عاملتيلهم منشن شباب مزز 😂😂😂
  ","

   قول/ي والله 👊
   
   مش مطلعة على اشكالهم انا بس بنزلو مساحات حلوة
   
   وكل واحد وتفكيرو
  
"
181248,"
   منشن حدا تنصحيني أتابعه😊
  ","

   في كتير 🙈
   

    @sohaipamro
   


    @abdallahalhidy
   


    @ismaeelaburayyan
   


    @aboqaiis
   

   صفحاتهم حلوة
   

    @almakhu
   


    @asallakhalid6
   
   وخد هدول التنتين عالبيعة 😂
  
"
181249,"
   ازاى تبطل تفكير فى فكره او حاجه مش عاوزه تسيب دماغك 😊 
بتعمل ايه ؟؟!
  ","

   بنام 💤💤💤
  
"
181250,"
   مساحة  اشوف ذوقكم  ❤🌹🌷
  ","

   مستحيلة 😩✋
  
"
181251,"
   ذات يوم ؛
• كانت هناك إمرأة عجوز وإمرأة عفستق .. 🐸🚬
و السلام عليكم ورحمة الله بركاته
😂😂😂😂✋💔
  ","

   و عليكم السلام 😒
  
"
181252,"
   مسَا الهدوء .. 🌸
جوابي الأخير اهدآء لَك 💙
  ","

   مسا الورد 💚💙
  
"
181253,"
   يسعد اوقاتكم 💞🌸
➖•• 🌸 ••➖
💭🔕بعض الحُروفْ تُبكِيكْ .. لَيسَ وَجعَاً ، بَل لأنها تَلمس شَيئاً إسْتوطَن رُوحَك🌸🍃
➖•• 🌸 ••➖
أنثُرْو جَمالْ حُروفِكْم 💭💭
  ","

   حتى وان باتت الامور واضحة كالشمس
   
   نغمض اعيننا كي لانؤذي قلوبنا 💔
  
"
181254,"
   قاتل من اجل حلمك ولا تسمح لأحد ابدا ان يحاول تدمير حلمك✌
جميعنا نمر بالصعاب ومنها اليأس ولكن من يريد النجاح يتجاهلها ولا يعطيها اي اعتبار
عش من اجل هدف حلم رؤية
كن نفسك
كن فعالا كفؤا  مرنا
كن رمز قدو
كن أثر أترك بصمة
فقط قاتل✌
مي اللطيفه 💙💙
يسعد قلبك 
الله يحميكي ويحفظك 
يسعد مساك يا رب💜💜
  ","

   يسعد مساك وقلبك ❤❤❤❤
  
"
181255,"
   اذآ آجٱاكك الرققم هآاد  177 
 من مجههول 🌸
اعرف انوو معجب فيكك 💋
بعتهآا لككل متابعينكك 😍
وشوووف مين معجب فيكك بالسرر 
🙊🙉 🙈 

لا ينزززل 👍🌸🍃
  ","

   طيب
  
"
181256,"
   اللّهُـمَّ عافِـني في بَدَنـي ، اللّهُـمَّ عافِـني في سَمْـعي ، اللّهُـمَّ عافِـني في بَصَـري ، لا إلهَ إلاّ أَنْـتَ .
صبااحكم محبة في طااعه الله
  ","

   مسا الورد❤
  
"
181257,"
   followed
  ","
  back😍
  "
181258,"
   شو سجلتي
  ","

   دينتال 🙈
  
"
181259,"
   خليني ابوس رجلك
  ","

   شنو هاذا 🐸
  
"
181260,"
   صباح الأناناس لأحلى ناس🍍
  ","

   صباح الورد🌹😌
  
"
181261,"
   followed 😊🙂
  ","
  Back 😋
  "
181262,"
   هل ادم عليه السلام هو اول من داس على سطح الارض؟
  ","

   لااااء الجن
   
   وبعديها قوم حن 😋
  
"
181263,"
   ماذا تقل لشخص الذي في بااالك الآن
  ","

   وير آر يو 🙈
  
"
181264,"
   صباحكم صباحك المدار س و الجامعات متلي عههه
  ","

   صباحك وانا معطلة🙈
  
"
181265,"
   ȘΘɴĢ 🎧🎵🎤
  ","

   اصلي...انس كريم
  
"
181266,"
   قمة الفضيحه ‹☺› 

يوم أحد يشوفك وانت تكلم نفسك
          ياعمي روح
 ^ في موضوع بيني وبيني😂😂🙊
😂😂😂😂😂😂😂
  ","

   الواحد مبياخد راحتو 😌
  
"
181267,"
   ومعاي الشيطان
  ","

   انا معك 😳😳
  
"
181268,"
   كيف الدوام ؟
  ","

   اي دوام -,-
  
"
181269,"
   لحالي
  ","

   طمنتني 😜
  
"
181270,"
   مسااااء الخييير
  ","

   مسا النور
  
"
181271,"
   - مرة وحدة إسمها حصة ، كبرت و صارت محاضرة 😛😂
.. 
متطلعوش هيك 😯
  ","

   انت مع مين عايش😳
  
"
181272,"
   🌸 مْـآيْـآ 🌸

لِـ حَرفِـگ الأنيْـق .💜
  ","

   سويطي 😍 يسعدك
  
"
181273,"
   بدي اغاني حلوه حلوه اجنبي و عربي
  ","

   خليك فاكرني...عمرو
   
   الها زكريات جميلة😍
  
"
181274,"
   فولو 🌚🌸
  ","

   باك
  
"
181275,"
   طلع انا عمري مريت جنبك🌚🌚🌚🌚
  ","

   للأسف لأ😂😂😍
  
"
181276,"
   -🌚
  ","
  😁
  "
181277,"
   1
  ","
  ok waiting 😏😏😏
  "
181278,"
   إذا رأيت الله يحبس عنك الدنيا ويكثر عليك الشدائد والبلوى
فاعلم أنك عزيز عنده
وأنك عنده بمكان
وأنه يسلك بك طريق أوليائه وأصفيائه
وأنه يراك
أما تسمع قوله تعالى
(( واصبر لحكم ربك فإنك بأعيننا ))
زميلتي💙💙
في هذا المساء 
الله يجعلك من كل ضيق مخرج 
وبعد كل هم فرج 
ويحميكي ويحفظك 
يسعد مساكي وقلبك💜💜
  ","

   يسعد مساك نادر ❤❤
  
"
181279,"
   😂😂😂😂 مليش دعوة
  ","
  Ok Dr😂
  "
181280,"
   ايه الفرحه الى انت مستنيها 🙈 
وعملت ايه عشان توصلها ؟؟
  ","

   اصير دكتورة ..
   
   سجلت طب 😌
  
"
181281,"
   👱: حبيبي انا بدي اسكر لاني بدي اروح ع بحر مكي 
👦: وين رايحة ؟!!! 
👱 : ع بحر مكي عشان اشتري دوا .. أمي مريضة ... ييي انت ما بتعرف انجليزي !!😂😂😂 
👦: لو سمحتي اكتبيها بالانجليزي 💔 
👱: هيو pharmacy :) 
.
عآجل : أنباء عن انتحار شاب والاسباب مجهولةة 😂😂😂😂💔💔💔 
#ههههههههههههههه
  ","

   😂😂😂شت
   

    @adelmaher505
   
   😜
  
"
181282,"
   ما هو القول المأثور المفضل لديك؟
  ","

   كما تتفاخر بأجدادك
   
   دع لأحفادك ما يتفاخرون به✋
  
"
181283,"
   ليش تشيل هم بكرا ؟! يمكن بكرا الله ياخدكك :) تفائلو ي نكدين ههههه *-* :p .... اصلاتن بمزح ههه : 3
  ","

   روح ادرس ولا 👊
  
"
181284,"
   *-*-*-*🌼*-*-*-*-
  ","

   لا تبالغ في شعورك ~💙
  
"
181285,"
   ما الشيء الأهم بالنسبة لك، المال أو المظهر الجيد أو السلوك الحسن؟
  ","

   المظهر الجيد✋
  
"
181286,"
   -
  ","

   حكيتلك اصرفي ✌
  
"
181287,"
   في اعتقادك 
ما الشيء الذي يجب على الرجل الحقيقي ان يكون قادرا على فعله؟؟؟ 
بتمنى الكل يجاوب 😊😊😊😊
  ","

   يعرف يتعامل مع الانثى 😌
  
"
181288,"
   من قال أن الإبتسامه رمز للفرح ؟
ومن قال بأن الدمعـه رمز للحزن ؟
أحياناً.. نعبر عن الفرح العظيم بدمعـه 😢
ونلخص الحزن العميق بإبتســـامه 😊

...💕💜...
يسعد مساكم 🌸💞
  ","

   يسعد مساك❤
  
"
181289,"
   تَمنُوا ❤، وَابتسِمُوا 💛، وَتوَكلُوا على الله 🌼 فـ ربنَا ربٌ كريم 💜 يُعطي 💚، ويُعطي 🌸، ويُعطي 😍! يسعد صبآحكم 😉💙
  ","

   يسعد صباحكك
  
"
181290,"
   مهو لازم يكون عندك راي لو عرضو عليكي زواج مبكر الساعه تلات الفجر بترضي
  ","

   تؤ
  
"
181291,"
   شو رايك بالزواج المبكر
  ","

   رأيي ما بجيب ولا بودي 😳💔
  
"
181292,"
   سعادتك بتهمني❤
  ","

   يسعدك
  
"
181293,"
   _
  ","

   الصراحة ما بحب اطول لساني
   
   لهيك لا تخبصي
  
"
181294,"
   ما الاغنية التي تعبر عن مزاجك الان ؟
  ","

   ناصيف...خلص استحي
  
"
181295,"
   😒❤️
  ","
  🙈🙈😁
  "
181296,"
   اهتمام البنت بنفسها و بلبسها و جمالها امر فطري و مرتبط بانوثتها ، يعني ابد ما تهتم بنفسها لخاطر عيونك ✋
  ","

   اول مرة بتحكي ايشي صح😂
  
"
181297,"
   بصي يا بنت الحلال يا حلوةة انتي ضحكتگ حلوة عاليها و عيونك اوعي الحزن يسكن فيها ✌😌. خليكي دايما حلوةة باخلاقگ و قويةة بطموحگ انتي وردةة مفتحةة جميلةة ربگ دايما حاميها 🌸💜، اوعي كرامتگ حد يدوس عليها دا انتي ملكةة علي عرش الكون♔😸 .اوعي الحزن مهما يكون يخسرگ نفسگ دا كله يهون قصاد ضحكتگ ي جميلةة ❤😻
  ","
  OpPs 🙈🙈
  
  Morning 👀
  "
181298,"
   يسعد صبآحك ي رب 
صباح اول يوم دوام بالجامعه التعيسه
  ","

   يسعد صباحك
   
   موفق
  
"
181299,"
   انا انون جديد مش نفسه الي سألك اول مره
  ","

   طيب ولك بالمثل 😳😌
  
"
181300,"
   شو النكته طيب
  ","

   مهو حكينا مبيزبط هووون 👊
   
   بيني اليوزر والله لانكتك😂
  
"
181301,"
   ههههع لكن ويين
  ","

   بين/ي اليوزر تقلك🙈🙈
  
"
181302,"
   كل شخص يمر بتجارب بحياتة اكثر تجربة مريت بيها وتركت بصمة بحياتك .بلنسبة الية الحب من طرف واحد كلش اثر بية اثر بية لان اخاف ابادر بشعوري لان اخاف اخسر هذا الشخص بس الحمدلله بلنهاية خسرتة 💪
  ","

   بكرة يجيك اللي يعوضك واللي ينسيك
   
   قول يرب✌💚💙
  
"
181303,"
   هاتي نكته
  ","

   عندي وحدة حلوة بس ما بينفع هون😂💔
  
"
181304,"
   ملل 😕😑😯
  ","

   ايش اعملك طيب
  
"
181305,"
   💛-
  ","

   لك عيونك ازا شافهم كافر بيزكر الله🙈
   
   الك انون/ة🙈
  
"
181306,"
   1
  ","

   بردو اصرفي
  
"
181307,"
   1
  ","

   كيف هيك
  
"
181308,"
   انا الي ضاع من عمرو سنين
  ","

   طيب
  
"
181309,"
   وبحب المعصبه كمان عادي
  ","

   مين؟
  
"
181310,"
   وبحب الناس الرايقه
  ","

   طيب بردو
  
"
181311,"
   ما بدي شي من الكتب ! ولا من النت ..
مساحة لألكون ..اكتبوا 😊
  ","

   كوني كوفاء ياسمين دمشق لشامه..كوني زهرتي الوفية ❤
   
   من انسانة غالية❤❤
  
"
181312,"
   طيب روقي
  ","

   طيب
  
"
181313,"
   صوري اجرك
  ","

   ما ناقصني سخافة
  
"
181314,"
   1
  ","

   وليش ماكلة هالقد
   
   اصرفي وهي بلوك
  
"
181315,"
   1
  ","

   حكيتلك لأعرف مين انتي اول بعدين بصير خير
   
   وما بدك تحكي مين انتي لا تبعتي يلا جو تو هيل
  
"
181316,"
   😂🎉🎊
حط كوبليه من #اغنيه_بتحبها_وبعدها👈 ( ياحيلتها ) 😈😆
دا احنا #هنشوف_العجب 😂😂
انطلقوووووووووو 😂👊
  ","

   احكي عربي😁😂
  
"
181317,"
   صباياا لا تزعلوو من حكي العالم ✋😌
سواقتگگن بتجننن 👍👌
ويلي مو عاجبوو لا يمشي ع الرصيف  😂😂
#سمعتوو ✌️✌️
  ","

   أدفايزر اسراء 😁😂
  
"
181318,"
   بدي شاي
  ","

   مممم
  
"
181319,"
   باقيلك منك ايه ؟
  ","

   كل ايشي ما خسرت ايشي✌
  
"
181320,"
   1
  ","

   انتي ما بتيجي الا بنص الليل
   
   ايش وضعك؟؟
  
"
181321,"
   يعجبني الشخص اللي م يسمع كلام الناس ولا يتأثر فيهم , ويكون صاحب استقلالية بشخصيته يعني -باختصار- مو كلمة توديه و كلمة تجيبه!!
#مساء_الخير 😎
  ","

   مسا الورد💚💙❤
  
"
181322,"
   وجه 👈 لي كلمة ☺
  ","

   كُن مُتَفَهِّماً بردو ~
   
   هي صارو كلمتين😁
  
"
181323,"
   وجه👈 لي كلمة ☺
  ","

   كن مُثَقَّفاً ~
  
"
181324,"
   _
  ","
  😩
  "
181325,"
   followed ❤
  ","
  wlc❤
  "
181326,"
   كلمات للحب ...
  ","

   ما الحب الا للحبيب الاول✋
  
"
181327,"
   اسم احلى فلم حضرتو بحياتك ؟
  ","

   الفيل الازرق🐘
  
"
181328,"
   مآيا ..؟! 

سعآدتكك سعآدتي 😯🙈💜
  ","

   يسعدو يسعدو🙈
  
"
181329,"
   كم عمرك ؟؟
  ","
  18
  "
181330,"
   ابعت لشخص بتهمك سعادتو ""سعادتك بتهمني"" وارجع ابعت السؤال لمتابعينك وشوف كم واحد مهتم لسعادتك☺
  ","

   ممممم
  
"
181331,"
   سأتعاطى السيريلاك 🐸، سأسهر على سبيستون حتى الوآحدة بعد منتصف الليل✊ ، سأصبح متمردة ! متمردة جدآ 😂😂

ابتعدوا ... 💃💃💃
  ","

   شي كبيير يعمري 😂
  
"
181332,"
   مساء الخيير 🌹🌷🌹
انا جييييت 🙈🙈🙈
  ","

   مسا الورد
  
"
181333,"
   اهداء 🌷
لكل اللي محتاج يبطل احتياج
  ","
  😍😍😍
  "
181334,"
   سعادتك بتهمني 🙈🙊
  ","

   يسعدك🙈
  
"
181335,"
   لمن يريد قصص حقيقيه حصلت بالاعوام السابقه ,, بإمكانه التفاعل والطلب ,
"" يرجى من الصغار واصحاب القلوب الضعيفه عدم التفاعل ""
  ","

   اموت بقصصكم انا😍😍
  
"
181336,"
   عندك الشجاعة الكافية اللي تخليك تروح لحد واجعك بس أنت بتحبه و تئوله إرجع اشتئتلك ؟! ✋💔 
بصراحة؟
#ج
  ","

   هاي مو شجاعة هاي قلة كرامة 😞
  
"
181337,"
   أحسسن ٥ صفحآت وأحگگيلهم يتآبعوني☺️✋
  ","

   @ismaeelaburayyan
  


   @sohaipamro
  


   @abdallahalhidy
  


   @aboqaiis
  


   @abodeek
  
"
181338,"
   شو رح يكون اسم ابنك و بنتك المستقبليين ؟
  ","

   زريفة وطلال 😍😂
  
"
181339,"
   😒
  ","

   شو😞
  
"
181340,"
   شو الاشي اللي بتفتقديه ؟
  ","

   انت 😈
  
"
181341,"
   ما بعرف 😂
  ","

   طيب؟
  
"
181342,"
   بتوثقي بالناس بسرعة ؟
  ","

   تؤ 😞
  
"
181343,"
   بشو بتكوني تفكري لما تكوني لحالك ؟
  ","

   خصوصيات😌
  
"
181344,"
   ابتسمي فالسعادة لا تليق الا لثغرك وقلبك
  ","

   يسعد قلبك😋
  
"
181345,"
   اخر سؤال غريب 😕😕😕😕
  ","

   ليش
  
"
181346,"
   محلاا ضحكتك
  ","
  Thnx
  "
181347,"
   followed
  ","
  back
  "
181348,"
   Space💭
  ","

   هكذا يا صديقي~
  
"
181349,"
   1
  ","

   ايش بيعنيكي؟
  
"
181350,"
   بتبيعي بسكوت 😹
  ","

   لا ببلاش😜
  
"
181351,"
   يوم تعصبون تقطون حرتكم ف من🌚💔؟
  ","

   اللي بيجي بوجهي 👋👋
  
"
181352,"
   😂
  ","
  😎
  "
181353,"
   ابعت لشخص بتهمك سعادتو ""سعادتك بتهمني"" وارجع ابعت السؤال لمتابعينك وشوف كم واحد مهتم لسعادتك☺
  ","

   اوك
  
"
181354,"
   ههههه هلا فيكي
  ","
  ✋
  "
181355,"

    @JihadBsharat95
   
   ممكن متابعة ل هالشب 
كتيرر محترم فش متلو بالدنيا 
لو تلفو الصين والهند بتلاقوش متلوو
الله يسعدكو 
هاد الشخص عزيز ع قلبي ويلي بعزني يتابعو ♥♥
  ","

   ديش😜
  
"
181356,"
   -🌚
  ","
  🙈🙈🙊🙈🙈
  "
181357,"
   كلّ إنسان .. يمكنه [نـقـش] اسمه في المـكاِن الذي يريده ! 
إلا القلوب .. 💕
فإنّها لا تقبل النّقش فيها إلّا لمن [نـبـضـت] لهم حبّاً و احتراماً..

...💕❤...
يسعد مساكم 🌸🌸
شوفو البيو 🙊🙈
  ","

   يسعد مساك✋
   
   نقش قلوب😳💔
  
"
181358,"
   ليش الشكوش 😂😞💔
  ","

   ما متعودة عليك حكيم 😂
  
"
181359,"
   رسالة صباحية: إزرع دَاخل الجَميع شيئاً يَخصك، إن لم يكن حباً فليكن إحتِراما 💛..  يسعد صباحكم💙🌸
  ","

   يسعد مساكك عادل🔨
  
"
181360,"
   followed 😁
  ","
  Back
  "
181361,"
   نظن أن حياتنا #صعبه و #سيئه ؛!؟
أنت' تملك .. وغيرك يفتقد •
أنت' بخير .. وهناك من يتألم ••
أنت' بصحة جيدة .. وهناك مرضى لم يجدو لهم #دواء 💔
أنت' سعيد ..وغيرك يمزقه الحزن《 😔 》
"" تأمل أوجاع البائسين واذهب إلى أوجاعك اللطيفه 💛
احضنها برفق وقل :- #الحمد_لله ~❤
#يسعد_صباحك
  ","

   الحمدلله 💚
   
   يسعد صباحك💙💛
  
"
181362,"
   دوم يا رب
  ","

   هلا
  
"
181363,"
   هل تعتقد/ي انك انسان/ة جيد/ه؟؟لماذا؟؟😊😊😊😊😊😊
انا بعتبر حالي انسان جيد لانه بحاول اخلي الناس تضحك طول ما انا موجود 😊😊
بتمنى الكل يجاوب 😊😊
  ","

   انا لا بنكد عالكل 😂
  
"
181364,"
   الجمعة | 26/8/2016 
●صورة مع زوجته واولاده | شهيد الجمعة الشاب (اياد زكريا حامد 38 عاما) من رام الله اب ل 3 اطفال
   
    http://ask.fm/newspalestine2/answer/138182249785
   
   ●صورة | ما كتبته خطيبة الشهيد ساري أبو غراب
   
    http://ask.fm/newspalestine2/answer/138183030073
   
   رحم الله شهداءنا❤
للمزيد : تابعوا صفحتنا
  ","

   بالجنة يا رب
  
"
181365,"
   صبااآآحو 😍
  ","

   صباح الورد 😍
  
"
181366,"
   الأمل صديق رائع، ربّما يغيب ولكن لا يخون ..صباح الخير
  ","

   صباح الفل 🍒🍓
  
"
181367,"
   كيفك
  ","

   تمام
  
"
181368,"
   ❤️❤️
  ","
  😍😍🌿🌿🍃
  "
181369,"
   اسف القصد مساحة 😖
  ","

   نو بروبلم وصلت😂
  
"
181370,"
   مساخة ☺😊
  ","
  ✋😪
  "
181371,"
   صباح الخير
  ","
  Morning
  "
181372,"
   شيكلين ؟
  ","

   ونص 😏
  
"
181373,"
   ليش كم مصروفك
  ","

   مو شغلك
  
"
181374,"
   اتجوزيني وبفتحلك كازينو
  ","

   لا بدي افتحو بجهودي الخاصة انت ريلاكس
  
"
181375,"
   بحبك
  ","

   طيب
  
"
181376,"
   صباحي يبدأ بك ربي حباً وتسبيحاً وحمداً وشكرآ لگ على گل مآ نحن فِيہ من خير ۆ نِعمة ۆ صحہ . صباح الخير ❤♥
  ","

   صباح الورد 💙
  
"
181377,"
   محشش يمشي ويدعي 🙌 : يارب اسعد (زهور ) دنيا واخرة يارب نجح ( زهور ) بتوجيهي يارب وفق ( زهور) بكل درب شكرا لأنكم دعيتو لي ""- ماينفع معاكم الا المحشش 🌚💔  ~| وشسمو صلو ع نبي ♥
  ","

   علــيه الصـلاة والسـلام💚💚
  
"
